# Family Xorddos
/bin/oegecazifg: 1
/tmp/dvwyaplcdr: 1
/tmp/xlvksrmyip: 1
/usr/bin/ivahgrmsbx: 1
/bin/cbjximvwfb: 1
/bin/mpxhbkezgs: 1
/etc/rc.d/rc1.d/S90hktspplivc: 1
/usr/bin/fyhtcdhmxs: 1
/etc/init.d/hktspplivc: 1
/tmp/mpxhbkezgs: 1
/tmp/veqgnlvcex: 1
/usr/bin/ffubltkakm: 1
/bin/vasklgfkdk: 1
/tmp/arfucuvxwx: 1
/usr/bin/sgowsxbqho: 1
/bin/mvgqzivvhl: 1
/tmp/kutzjyffpj: 1
/bin/ffubltkakm: 1
/bin/akhwzkhzuw: 1
/bin/sgowsxbqho: 1
/tmp/afxbjcoefj: 1
/tmp/pegamwfkoe: 1
/usr/bin/zuozltittl: 1
/bin/pegamwfkoe: 1
/bin/rclsmmdsky: 1
/bin/hykjxnkmxf: 1
/usr/bin/vqkqbwaquc: 1
/tmp/npdvdsculy: 1
/etc/rc5.d/S90qbeuktdqqn: 1
/boot/ijqaffanbt: 1
/boot/hinasgovrh: 1
/boot/hrrqwqjpgm: 1
/boot/kvvzyklcxq: 1
/boot/gdjfqpdece: 1
/boot/wqtcacatmm: 1
/boot/aisarucxgc: 1
/etc/rc2.d/S90qbeuktdqqn: 1
/boot/busajjaqvc: 1
/boot/qbeuktdqqn: 1
/boot/hbdenpwips: 1
/boot/ixthwmzcmm: 1
/boot/yzuziisioi: 1
/boot/nkhpulokqc: 1
/etc/rc.d/rc2.d/S90qbeuktdqqn: 1
/boot/btdicgczot: 1
/boot/rycemvpzuu: 1
/boot/qwqrsrkzxb: 1
/boot/ordwjluvgr: 1
/etc/init.d/qbeuktdqqn: 1
/boot/fievgzxlel: 1
/boot/lwfisongyc: 1
/etc/rc4.d/S90qbeuktdqqn: 1
/boot/kkqjkxkrif: 1
/boot/ozdreguyrq: 1
/etc/rc1.d/S90qbeuktdqqn: 1
/boot/lhdigwpilf: 1
/boot/fmeebfmfup: 1
/boot/dbtpcwjwhz: 1
/etc/rc.d/rc3.d/S90qbeuktdqqn: 1
/boot/bjisefynbd: 1
/boot/sqhiyhhxbp: 1
/etc/rc.d/rc1.d/S90qbeuktdqqn: 1
/boot/fkhvjethyv: 1
/etc/rc.d/rc5.d/S90qbeuktdqqn: 1
/boot/mroaoyrxwl: 1
/boot/eisgdkokbb: 1
/boot/dstcnzpxee: 1
/boot/vyudwyaurf: 1
/boot/yilkglofkq: 1
